警号,姓名,身份证号,出生年月,联系电话,政治面貌,入党时间,毕业学校,专业,参加工作年月,警衔,职级,现任职务,性别
333019,罗,195006128262,1950/6/12,13300001129,民主党派,,浙江大学,计算机科学与技术,2000/5/7,一级警司,四级警长,民警,女
333020,李,196303035857,1963/3/3,13300001130,民主党派,,北京大学,经济学,1994/6/17,一级警督,一级警长,队长,男
333021,梁,197809226682,1978/9/22,13300001131,中共党员,1985/8/13,北京大学,化学,2014/4/20,一级警员,一级警员,民警,男
333022,刘,199811255888,1998/11/25,13300001132,群众,,中国人民警察大学,经济犯罪侦查,2000/12/1,一级警司,四级警长,民警,女
333023,叶,197312166143,1973/12/16,13300001133,共青团员,,中国人民警察大学,公安管理学,2023/8/21,三级警监,一级高级警长,警长,男
333024,展,199210272387,1992/10/27,13300001134,群众,,中国人民公安大学,公安管理学,2019/11/11,二级警督,二级警长,警长,男
333025,杨,197109152555,1971/9/15,13300001135,共青团员,,中国人民公安大学,治安学,2019/9/9,一级警督,一级警长,民警,女
333026,周,200107108261,2001/7/10,13300001136,民主党派,,浙江大学,文学,1984/10/3,三级警司,四级警长,副局长,男
333027,靳,195111048070,1951/11/4,13300001137,中共党员,1989/4/13,北京大学,文学,1997/5/21,二级警督,一级高级警长,警长,女
333028,李,196702172142,1967/2/17,13300001138,中共党员,1957/9/10,广东警官学院,经济犯罪侦查,1995/12/25,三级警督,二级警长,警长,女
333029,沈,200107205302,2001/7/20,13300001139,群众,,广东警官学院,经济犯罪侦查,2015/9/24,二级警督,二级高级警长,民警,女
333030,郭,198412217231,1984/12/21,13300001140,民主党派,,中国刑事警察学院,经济犯罪侦查,1989/10/20,二级警督,二级警长,副队长,女
333031,张,196005177996,1960/5/17,13300001141,民主党派,,北京大学,文学,1991/1/5,二级警员,二级警员,副队长,女
333032,卢,198504106133,1985/4/10,13300001142,共青团员,,中国人民公安大学,刑事科学技术,2008/11/4,三级警督,四级警长,民警,男
333033,杨,196003115228,1960/3/11,13300001143,民主党派,,江苏警官学院,侦查学,2023/2/4,三级警督,二级警长,队长,男
333034,欧,197805057137,1978/5/5,13300001144,群众,,中国人民警察大学,治安学,2010/10/3,二级警督,三级高级警长,队长,男
333035,崔,200309164642,2003/9/16,13300001145,中共党员,1990/5/23,中国人民警察大学,公安管理学,1987/3/20,一级警督,一级警长,民警,女
333036,刘,197612232673,1976/12/23,13300001146,共青团员,,中国刑事警察学院,侦查学,2011/4/24,一级警督,一级警长,民警,女
333037,许,199510156104,1995/10/15,13300001147,群众,,中国人民公安大学,刑事科学技术,1995/7/28,二级警督,四级高级警长,队长,女
333038,李,197509214738,1975/9/21,13300001148,民主党派,,中国刑事警察学院,刑事科学技术,2016/7/17,三级警监,二级高级警长,队长,男
333039,高,195601081602,1956/1/8,13300001149,中共党员,1975/9/26,广东警官学院,侦查学,1985/4/28,三级警督,三级高级警长,民警,男
333040,袁,200401063568,2004/1/6,13300001150,中共党员,1962/2/9,中国人民警察大学,经济犯罪侦查,1992/9/22,三级警监,一级高级警长,警长,男
333041,李,198707025083,1987/7/2,13300001151,中共党员,1978/8/19,中国人民公安大学,刑事科学技术,2007/12/21,三级警监,二级警务专员,民警,女
333042,张,198509185245,1985/9/18,13300001152,民主党派,,中国人民公安大学,治安学,2003/9/21,一级警员,一级警员,警长,女
333043,李,198911198546,1989/11/19,13300001153,民主党派,,江苏警官学院,治安学,1999/9/5,三级警督,四级高级警长,警长,女
333044,钟,198503113051,1985/3/11,13300001154,中共党员,1989/9/6,广东警官学院,刑事科学技术,2020/12/18,三级警督,三级高级警长,队长,男
333045,王,198906134567,1989/6/13,13300001155,群众,,中国刑事警察学院,刑事科学技术,1983/6/8,一级警督,二级警长,民警,女
333046,唐,195705248458,1957/5/24,13300001156,共青团员,,上海交通大学,计算机科学与技术,1988/5/28,二级警员,二级警员,队长,女
333047,郭,197711152142,1977/11/15,13300001157,民主党派,,中国人民公安大学,公安管理学,2004/7/11,一级警督,二级高级警长,副队长,女
333048,王,200107093801,2001/7/9,13300001158,共青团员,,中国人民公安大学,公安管理学,1987/3/19,一级警监,一级警务专员,副局长,男
333049,朱,198809078483,1988/9/7,13300001159,民主党派,,江苏警官学院,公安管理学,2010/6/16,一级警监,一级警务专员,队长,男
333050,朱,197409078211,1974/9/7,13300001160,共青团员,,中国刑事警察学院,治安学,2022/5/10,二级警督,四级高级警长,民警,男
333051,劳,195411092028,1954/11/9,13300001161,民主党派,,广东警官学院,治安学,2017/12/23,二级警督,二级高级警长,队长,女
333052,刘,199810194291,1998/10/19,13300001162,中共党员,1962/1/18,中国刑事警察学院,经济犯罪侦查,2007/5/6,一级警员,一级警员,队长,男
333053,陈,196107105378,1961/7/10,13300001163,中共党员,1980/12/14,中国刑事警察学院,侦查学,2007/11/21,二级警督,三级高级警长,警长,女
333054,杨,199202057925,1992/2/5,13300001164,群众,,中国人民公安大学,侦查学,2016/12/11,一级警督,二级高级警长,副队长,男
333055,沈,196011205424,1960/11/20,13300001165,民主党派,,中国刑事警察学院,侦查学,1986/10/17,二级警督,三级高级警长,副队长,男
333056,叶,197306154183,1973/6/15,13300001166,共青团员,,江苏警官学院,经济犯罪侦查,2003/4/27,三级警督,三级警长,副局长,女
333057,曾,198105027662,1981/5/2,13300001167,共青团员,,广东警官学院,刑事科学技术,2004/2/18,三级警督,四级警长,副队长,女
333058,古,198104161428,1981/4/16,13300001168,中共党员,1998/12/6,中国刑事警察学院,经济犯罪侦查,1995/2/20,二级警员,二级警员,副局长,男
333059,黄,196010228072,1960/10/22,13300001169,共青团员,,江苏警官学院,经济犯罪侦查,2020/11/10,二级警员,二级警员,副队长,男
333060,张,200004148402,2000/4/14,13300001170,共青团员,,江苏警官学院,刑事科学技术,1989/3/9,三级警监,二级警务专员,副队长,男
333061,张,197112166421,1971/12/16,13300001171,民主党派,,上海交通大学,化学,1998/3/6,一级警员,一级警员,队长,女
333062,王,199406224598,1994/6/22,13300001172,民主党派,,北京大学,化学,1983/3/9,二级警员,二级警员,副局长,男
333063,郭,196406244744,1964/6/24,13300001173,共青团员,,中国刑事警察学院,治安学,2019/2/27,二级警员,二级警员,副局长,女
333064,赫,197908221400,1979/8/22,13300001174,中共党员,2017/12/7,中国人民警察大学,刑事科学技术,1990/4/22,三级警司,三级警长,副局长,女
333065,田,197211215038,1972/11/21,13300001175,民主党派,,广东警官学院,侦查学,2024/2/10,一级警督,二级高级警长,警长,女
333066,杨,198104258036,1981/4/25,13300001176,共青团员,,江苏警官学院,经济犯罪侦查,1988/8/12,三级警督,四级高级警长,警长,女
333067,周,200308216561,2003/8/21,13300001177,群众,,江苏警官学院,侦查学,2016/6/21,二级警督,四级高级警长,民警,男
333068,李,198305108230,1983/5/10,13300001178,共青团员,,中国刑事警察学院,治安学,1982/9/19,一级警员,一级警员,队长,男
333069,蔡,195101262575,1951/1/26,13300001179,共青团员,,江苏警官学院,侦查学,2014/11/21,三级警督,四级高级警长,副局长,女
333070,刘,195805192437,1958/5/19,13300001180,共青团员,,复旦大学,文学,1995/2/23,一级警员,一级警员,副队长,男
333071,吴,198405173168,1984/5/17,13300001181,中共党员,2020/12/23,广东警官学院,公安管理学,1991/9/29,三级警监,一级高级警长,警长,女
333072,谷,195208074154,1952/8/7,13300001182,共青团员,,清华大学,化学,1999/2/3,三级警督,三级警长,副局长,男
333073,黄,197411246526,1974/11/24,13300001183,民主党派,,江苏警官学院,刑事科学技术,1990/4/14,二级警督,三级高级警长,民警,女
333074,李,195512032011,1955/12/3,13300001184,共青团员,,中国人民警察大学,侦查学,2022/8/17,二级警督,四级高级警长,队长,男
333075,杨,196907024814,1969/7/2,13300001185,群众,,中国刑事警察学院,治安学,2004/2/8,二级警员,二级警员,警长,女
333076,杨,200111141641,2001/11/14,13300001186,中共党员,2003/3/31,江苏警官学院,公安管理学,1980/1/17,二级警督,二级警长,警长,女
333077,苏,195910022160,1959/10/2,13300001187,群众,,广东警官学院,侦查学,1987/2/15,一级警督,一级高级警长,副局长,男
333078,何,197310208923,1973/10/20,13300001188,共青团员,,中国刑事警察学院,治安学,2005/7/28,三级警督,四级警长,副局长,女
333079,萧,196005236294,1960/5/23,13300001189,共青团员,,上海交通大学,文学,1980/5/7,三级警司,三级警长,副局长,男
333080,张,196712057034,1967/12/5,13300001190,中共党员,1991/12/15,江苏警官学院,治安学,2013/7/29,二级警督,一级高级警长,副队长,女
333081,甘,196107119212,1961/7/11,13300001191,中共党员,1963/11/20,中国人民公安大学,治安学,1992/4/3,三级警监,一级高级警长,副队长,女
333082,严,200106284115,2001/6/28,13300001192,中共党员,1966/5/16,清华大学,物理学,1981/6/21,一级警司,三级警长,副局长,女
333083,黄,200109239230,2001/9/23,13300001193,共青团员,,中国人民警察大学,经济犯罪侦查,1989/7/28,三级警督,三级高级警长,警长,女
333084,刘,196807265653,1968/7/26,13300001194,民主党派,,江苏警官学院,治安学,2015/7/17,三级警督,三级高级警长,副队长,女
333085,曹,199501153924,1995/1/15,13300001195,群众,,中国刑事警察学院,刑事科学技术,1984/10/28,二级警督,一级高级警长,副队长,男
333086,周,198706276631,1987/6/27,13300001196,民主党派,,中国人民公安大学,治安学,1980/6/3,三级警督,三级高级警长,警长,男
333087,翁,196702221078,1967/2/22,13300001197,民主党派,,中国人民警察大学,公安管理学,2024/5/7,一级警督,一级高级警长,队长,男
333088,朱,197709278969,1977/9/27,13300001198,民主党派,,中国人民警察大学,侦查学,1990/6/16,二级警督,三级高级警长,警长,男
333089,潘,196512232909,1965/12/23,13300001199,民主党派,,浙江大学,化学,1991/12/19,三级警监,一级高级警长,副局长,女
333090,王,199603163329,1996/3/16,13300001200,共青团员,,中国人民公安大学,经济犯罪侦查,2000/3/23,三级警督,三级高级警长,警长,男
333091,李,198008208036,1980/8/20,13300001201,中共党员,1964/12/31,中国刑事警察学院,侦查学,1982/1/14,二级警督,一级高级警长,副队长,男
333092,郭,197206169002,1972/6/16,13300001202,群众,,中国刑事警察学院,公安管理学,2008/12/7,三级警督,三级高级警长,警长,女
333093,冯,199304013413,1993/4/1,13300001203,民主党派,,上海交通大学,文学,2005/6/11,三级警督,三级警长,副局长,女
333094,赵,198309099648,1983/9/9,13300001204,民主党派,,中国人民公安大学,侦查学,2011/1/21,三级警司,四级警长,副队长,女
333095,孙,199505262718,1995/5/26,13300001205,群众,,中国刑事警察学院,治安学,1987/12/7,一级警督,一级警长,警长,女
333096,陈,197910207035,1979/10/20,13300001206,群众,,江苏警官学院,刑事科学技术,1988/3/17,二级警督,二级警长,民警,男
333097,冼,196703204938,1967/3/20,13300001207,民主党派,,中国刑事警察学院,侦查学,1991/11/6,三级警监,二级高级警长,队长,女
333098,刘,197005141667,1970/5/14,13300001208,民主党派,,江苏警官学院,公安管理学,2004/5/6,一级警督,一级高级警长,警长,男
333099,姚,197402063394,1974/2/6,13300001209,群众,,江苏警官学院,经济犯罪侦查,2004/8/31,一级警督,一级警长,队长,女
333100,姜,198906091966,1989/6/9,13300001210,群众,,中国人民警察大学,经济犯罪侦查,2001/9/17,二级警监,二级警务专员,副队长,女
333101,张,199209091965,1992.09,13300001211,群众,,集美大学,计算机科学与技术专业,2021.12,三级警司,一级警员,民警,男
